group,General
ext,Radio Bocairent TV,http://185.81.77.4/BocairentTV/index.m3u8
ext,Ribera TV,https://common01.todostreaming.es/live/ribera-livestream.m3u8
ext,RTV Manilva,https://stream.castr.com/627a72d21914543be01c1720/live_e2ae1780dc2a11eca660b7b17b7952a5/index.m3u8
ext,TeleBilbao,https://cloudbilbao.todostreaming.es/live/telebilbao-livestream.m3u8
ext,Tele Elx,https://tvdirecto.teleelx.es/stream/teleelx.m3u8
ext,Teleganes,https://nlb2-live.emitstream.com/hls/5z6oj7ziwxzfnj78vg2m/master.m3u8
ext,TeleGilena,https://5940924978228.streamlock.net/Directo1/Directo1/master.m3u8
Telemadrid.es,Telemadrid,https://telemadrid-23.secure2.footprint.net/master.m3u8
ext,Telemadrid INT,https://new-international-23.secure2.footprint.net/index.m3u8
ext,Telemotril,https://5940924978228.streamlock.net/8431/8431/playlist.m3u8
ext,Teleonuba,https://5d8d85cf2c308.streamlock.net:1936/Teleonuba/endirecto/playlist.m3u8
ext,TeleRibera,https://video1.lhdserver.es/teleribera/live.m3u8
ext,Tele Safor,https://video.telesafor.com/hls/video.m3u8
ext,TeleVigo,https://cloud.fastchannel.es/mic/manifiest/hls/televigo/televigo.m3u8
ext,Television Aranda,https://cloud.streamingconnect.tv/hls/telearanda/telearanda.m3u8
ext,Television Canaria,https://ythls.armelin.one/channel/UCTQrUTmzCWIfG6h4EVCdOCQ.m3u8
ext,Television de San Vicente,https://emision.arpamedia.es:4343/hls/tvsanvicenteweb.m3u8
ext,Television Melilla,https://tvmelilla-hls-rm-lw.flumotion.com/playlist.m3u8
ext,TV Almassora,https://live.fullsport.es/hls/tvalmassora.m3u8
ext,TV Bergueda,https://liveingesta318.cdnmedia.tv/berguedatvlive/smil:migracion.smil/playlist.m3u8?DVR=
ext,TV Carmona,https://ythls.armelin.one/channel/UCRniQmtUlHJedl36F0Mehvw.m3u8
ext,TVCentro Andalucia,https://5fa5de1a545ae.streamlock.net/8052/8052/playlist.m3u8
ext,TV Costa Brava,https://liveingesta318.cdnmedia.tv/costabravatvlive/smil:live.smil/playlist.m3u8
ext,TVE Internacional America,http://stream.flynetwifi.com:1935/live/mobile-128/playlist.m3u8
TVR.pl,TVR,https://5924d3ad0efcf.streamlock.net/riojatv/riojatvlive/playlist.m3u8
ext,TVReus,https://eu1.servers10.com:8081/8166/index.m3u8
ext,TV Ripolles,https://liveingesta318.cdnmedia.tv/tvripolleslive/smil:live.smil/playlist.m3u8?DVR=
ext,TV Sabadell-Valles,https://ingest1-video.streaming-pro.com/canaltaronja/sabadell/playlist.m3u8
ext,TV Sant Cugat,https://ythls.armelin.one/channel/UCoFs7RGrmWQkqU5KNNGvCjA.m3u8
ext,TV Vega Baja,https://streaming.tvt.es:8080/hls/tvb_interno/live.m3u8
ext,Urola Telebista,https://5940924978228.streamlock.net/j_Directo2/mp4:j_Directo2/playlist.m3u8
ext,Valles Visio,https://liveingesta318.cdnmedia.tv/vallesvisiotvlive/smil:live.smil/playlist.m3u8
ext,Ventdelnord TV,http://ventdelnord.tv:8080/hls/directe.m3u8
ext,Zafra TV,https://cloud.fastchannel.es/mic/manifiest/hls/radiotvzafra/radiotvzafra.m3u8

group,News
ext,101tv Malaga,https://limited38.todostreaming.es/live/101tv-web101tv.m3u8
324.es,3/24,https://directes-tv-int.ccma.cat/live-origin/canal324-hls/master.m3u8
ext,Canal Red,https://ythls.armelin.one/channel/UCky112obBMG68Nw5MrSNNPA.m3u8
ext,El Confidencial TV,https://daqnsnf5phf17.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-sde7fypd1420w-prod/fast-channel-elconfidencial/fast-channel-elconfidencial.m3u8
ext,El Pais TV,https://d2xqbi89ghm9hh.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-79fx3huimw4xc-ssai-prd/fast-channel-el-pais.m3u8
ElToro.es,El Toro TV,https://streaming-1.eltorotv.com/lb0/eltorotv-streaming-web/index.m3u8
ext,Hermes TV Vigo,https://ythls.armelin.one/channel/UCv_HqaMNADVSi7A3jLrVPsA.m3u8

group,Music
ext,Activa TV,https://streamtv.mediasector.es/hls/activatv/index.m3u8
ext,Afortunadas TV,https://cloudvideo.servers10.com:8081/8108/index.m3u8
ext,Alacanti TV,https://streaming01.gestec-video.com/hls/artequatreAlacanti.m3u8
ext,Alcarria TV,http://217.182.77.27/live/alcarriatv-livestream.m3u8
ext,Cadena Elite,https://cloudvideo.servers10.com:8081/8004/index.m3u8
ext,Calle 13 Universal,https://spa-ha-p004.cdn.masmediatv.es/SVoriginOperatorEdge3/smil:96_HD.smil/manifest.m3u8
ext,Canal 10 Emporda,http://ventdelnord.tv:8080/escala/directe.m3u8
ext,Ibiza Global TV,https://ibgrtv.streaming-pro.com/hls/ibgrlive.m3u8
ext,Imas TV,https://secure3.todostreaming.es/live/imastv-livestream.m3u8
ext,Interalmeria TV,https://interalmeria.tv/directo/live.m3u8
ext,Intercomarcal TV,https://streamingtvi.gestec-video.com/hls/tvixa.m3u8
ext,LiraTV,https://cloud2.streaminglivehd.com:1936/liratv/liratv/playlist.m3u8
ext,Lleida Televisio,https://liveingesta318.cdnmedia.tv/lleidatvlive/smil:live.smil/playlist.m3u8?DVR=
ext,Logos TV,https://streamer1.streamhost.org/salive/logosH/master.m3u8
ext,Molahits TV,http://ventdelnord.tv:8080/mola/directe.m3u8
ext,MTV Catfish TV Show,https://service-stitcher.clusters.pluto.tv/stitch/hls/channel/5db6a697d5f34a000934cd13/master.m3u8?advertisingId=&appName=web&appStoreUrl=&appVersion=DNT&app_name=&architecture=&buildVersion=&deviceDNT=1&deviceId=5db6a697d5f34a000934cd13&deviceLat=&deviceLon=&deviceMake=web&deviceModel=web&deviceType=web&deviceVersion=DNT&includeExtendedEvents=false&marketingRegion=DE&serverSideAds=false&sid=f1438745-0586-11eb-82fe-0242ac110002&terminate=false&userId=
ext,MTV Originals,https://service-stitcher.clusters.pluto.tv/stitch/hls/channel/5f1aadf373bed3000794d1d7/master.m3u8?advertisingId=&appName=web&appStoreUrl=&appVersion=DNT&app_name=&architecture=&buildVersion=&deviceDNT=0&deviceId=5f1aadf373bed3000794d1d7&deviceLat=41.1167&deviceLon=1.2500&deviceMake=web&deviceModel=web&deviceType=web&deviceVersion=DNT&includeExtendedEvents=false&marketingRegion=ES&serverSideAds=false&sid=300&terminate=false&userId=
ext,POP World TV,https://janus.xpbroadcasting.com:8443/hls/popworld.m3u8
ext,RTV Vida,https://vidartv2.todostreaming.es/live/radiovida-emisiontvhd.m3u8
ext,Sal Television,https://cloudvideo.servers10.com:8081/8254/index.m3u8
SFCTV.es,Sevilla FC TV,https://open.http.mp.streamamg.com/p/3001314/sp/300131400/playManifest/entryId/0_ye0b8tc0/format/applehttp/protocol/https/uiConfId/30026292/a.m3u8
ext,Solidaria TV,https://canadaremar2.todostreaming.es/live/solidariatv-webhd.m3u8
SolMusica.sp,Sol Musica,https://d2glyu450vvghm.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-21u4g5cjglv02/sm.m3u8
ext,SpektraTV,https://cloudvideo.servers10.com:8081/8136/index.m3u8
ext,STZ Telebista,https://cloudvideo.servers10.com:8081/stztelebista/index.m3u8
ext,TVG Musigal,https://musigal-crtvg.flumotion.com/playlist.m3u8
ext,Verbena TV,https://streamtv2.elitecomunicacion.cloud:3144/live/verbenatvlive.m3u8
ext,Viva Murcia TV,http://185.36.211.142:8080/tmp_hls/viva/index.m3u8
ext,VOTV,https://ingest2-video.streaming-pro.com/votv/streaming_web/playlist.m3u8
WarnerTV.es,Warner TV,http://stream.flynetwifi.com:1935/live/mobile-030/playlist.m3u8
ext,XPTV1,https://janus.xpbroadcasting.com:8443/hls/xptv1.m3u8

group,Movies
AMC.es,AMC,https://spa-ha-p004.cdn.masmediatv.es/SVoriginOperatorEdge4/smil:87_HD.smil/manifest.m3u8
ext,Ana y los 7,https://service-stitcher.clusters.pluto.tv/v1/stitch/embed/hls/channel/5f1acce7f17797000718f9be/master.m3u8?advertisingId=channel&appName=rokuchannel&appVersion=1.0&bmodel=bm1&content=channel&content_rating=ROKU_ADS_CONTENT_RATING&content_type=livefeed&coppa=false&deviceDNT=1&deviceId=channel&deviceMake=rokuChannel&deviceModel=web&deviceType=rokuChannel&deviceVersion=1.0&embedPartner=rokuChannel&is_lat=1&platform=web&rdid=channel&tags=ROKU_CONTENT_TAGS
MyTimeMovieNetwork.de,MyTime Movie Network,https://appletree-mytimespain-rakuten.amagi.tv/playlist.m3u8
ext,Negocios TV,https://streaming013.gestec-video.com/hls/negociostv.m3u8
ext,Noroeste TV,https://cloudvideo.servers10.com:8081/8032/index.m3u8
ext,Nortevision,http://amaru.dyndns.org:8870/0.m3u8
ext,Oizmendi Telebista,https://5940924978228.streamlock.net/8161/8161/master.m3u8
ext,Olot TV,https://liveingesta118.cdnmedia.tv/olottvlive/smil:live.smil/playlist.m3u8?DVR=
ext,Pluto TV Cine Accion,https://service-stitcher.clusters.pluto.tv/stitch/hls/channel/5d8d164d92e97a5e107638d2/master.m3u8?advertisingId=&appName=web&appStoreUrl=&appVersion=DNT&app_name=&architecture=&buildVersion=&deviceDNT=0&deviceId=5d8d164d92e97a5e107638d2&deviceLat=&deviceLon=&deviceMake=web&deviceModel=web&deviceType=web&deviceVersion=DNT&includeExtendedEvents=false&marketingRegion=US&serverSideAds=false&sid=904&terminate=false&userId=
ext,Pluto TV Cine Clasico,https://service-stitcher.clusters.pluto.tv/v1/stitch/embed/hls/channel/61373bb45168fe000773eecd/master.m3u8?advertisingId=channel&appName=rokuchannel&appVersion=1.0&bmodel=bm1&content=channel&content_rating=ROKU_ADS_CONTENT_RATING&content_type=livefeed&coppa=false&deviceDNT=1&deviceId=channel&deviceMake=rokuChannel&deviceModel=web&deviceType=rokuChannel&deviceVersion=1.0&embedPartner=rokuChannel&is_lat=1&platform=web&rdid=channel&tags=ROKU_CONTENT_TAGS
ext,Pluto TV Cine Estelar,https://service-stitcher.clusters.pluto.tv/stitch/hls/channel/5cf968040ab7d8f181e6a68b/master.m3u8?advertisingId=&appName=web&appStoreUrl=&appVersion=DNT&app_name=&architecture=&buildVersion=&deviceDNT=0&deviceId=5cf968040ab7d8f181e6a68b&deviceLat=&deviceLon=&deviceMake=web&deviceModel=web&deviceType=web&deviceVersion=DNT&includeExtendedEvents=false&marketingRegion=US&serverSideAds=false&sid=901&terminate=false&userId=
ext,Rakuten TV Action Movies,https://rakuten-actionmovies-2-es.samsung.wurl.tv/playlist.m3u8
ext,Rakuten TV Comedy Movies,https://rakuten-comedymovies-2-es.samsung.wurl.tv/playlist.m3u8
ext,Rakuten TV Drama Movies,https://rakuten-tvshows-2-es.samsung.wurl.tv/playlist.m3u8
ext,Rakuten TV Spotlight,https://rakuten-spotlight-2-es.samsung.wurl.tv/playlist.m3u8
Sundancechannel.hu,Sundance TV,https://spa-ha-p004.cdn.masmediatv.es/SVoriginOperatorEdge4/smil:88_HD.smil/manifest.m3u8
ext,SX3,https://directes-tv-cat.ccma.cat/live-origin/super3-hls/master.m3u8
ext,Tac12,https://ingest1-video.streaming-pro.com/nimble/tac12/playlist.m3u8

group,Series
Atreseries.es,Atreseries,https://spa-ha-p004.cdn.masmediatv.es/SVoriginOperatorEdge2/smil:10_HD.smil/manifest.m3u8
ext,BBC Drama,https://service-stitcher.clusters.pluto.tv/v1/stitch/embed/hls/channel/60dafb9a0df1ba000758d37b/master.m3u8?advertisingId=channel&appName=rokuchannel&appVersion=1.0&bmodel=bm1&channel_id=channel&content=channel&content_rating=ROKU_ADS_CONTENT_RATING&content_type=livefeed&coppa=false&deviceDNT=1&deviceId=channel&deviceMake=rokuChannel&deviceModel=web&deviceType=rokuChannel&deviceVersion=1.0&embedPartner=rokuChannel&genre=ROKU_ADS_CONTENT_GENRE&is_lat=1&platform=web&rdid=channel&serverSideAds=false&studio_id=viacom&tags=ROKU_CONTENT_TAGS
ext,BDN,https://liveingesta318.cdnmedia.tv/badalonatvlive/smil:live.smil/playlist.m3u8
BEMAD.es,Be Mad,https://spa-ha-p002.cdn.masmediatv.es/SVoriginOperatorEdge/smil:20_HD.smil/index.m3u8
Beteve.es,Beteve,https://cdnapisec.kaltura.com/p/2346171/sp/234617100/playManifest/entryId/1_n6442jz0/format/applehttp/.m3u8?referrer=aHR0cHM6Ly9iZXRldmUuY2F0
ext,Biosfera TV,https://tvdatta.com:3021/live/biosferatvlive.m3u8
ext,Pluto TV Telenovelas,https://service-stitcher.clusters.pluto.tv/v1/stitch/embed/hls/channel/60b4c06717da110007ee1af6/master.m3u8?advertisingId=channel&appName=rokuchannel&appVersion=1.0&bmodel=bm1&channel_id=channel&content=channel&content_rating=ROKU_ADS_CONTENT_RATING&content_type=livefeed&coppa=false&deviceDNT=1&deviceId=channel&deviceMake=rokuChannel&deviceModel=web&deviceType=rokuChannel&deviceVersion=1.0&embedPartner=rokuChannel&genre=ROKU_ADS_CONTENT_GENRE&is_lat=1&platform=web&rdid=channel&serverSideAds=false&studio_id=viacom&tags=ROKU_CONTENT_TAGS
ext,TVE Star HD,http://stream.flynetwifi.com:1935/live/mobile-129/playlist.m3u8
ext,TV Ferrol,https://directo.tvferrol.es/tv.m3u8
tvG2.es,TVG2,https://events2-crtvg.flumotion.com/playlist.m3u8
ext,XPTV US,https://janus.xpbroadcasting.com:8443/hls/xptvUS.m3u8

group,Kids
BabyTV.es,BabyTV,http://stream.flynetwifi.com:1935/live/mobile-060/playlist.m3u8
ext,Bailen TV,http://cpd.bailen.tv:8080/Playlist_CANAL_24H/playlist.m3u8
Boing.es,Boing,https://spa-ha-p002.cdn.masmediatv.es/SVoriginOperatorEdge/smil:17_HD.smil/index.m3u8
ext,Bon Dia TV,https://directes-tv-int.ccma.cat/live-origin/bondia-hls/master.m3u8
ClanTVE.es,Clan,https://rtvelivestream.akamaized.net/rtvesec/clan/clan_main_dvr.m3u8
ext,CMM TV,https://cdnapi.kaltura.com/p/2288691/sp/228869100/playManifest/entryId/1_01fn4ycl/format/applehttp/.m3u8
ext,Condavision,https://5d8d85cf2c308.streamlock.net:1936/Condavision/endirecto/playlist.m3u8
DisneyChannel.es,Disney Channel,https://spa-ha-p004.cdn.masmediatv.es/SVoriginOperatorEdge2/smil:21_HD.smil/manifest.m3u8
ext,Distrito TV,https://nlb2-live.emitstream.com/hls/3mn7wpcv7hbmxmdzaxap/master.m3u8
